,LSOA2011,income score,employment score,"education, skills and training score",barriers to housing and services score
6160,E01006321,0.046,0.047,3.023,5.238
6161,E01006322,0.219,0.181,34.716,13.077
6162,E01006323,0.231,0.192,46.282,13.508
6163,E01006324,0.245,0.21,53.543,17.728
6164,E01006325,0.164,0.141,35.411,12.415
6165,E01006326,0.222,0.202,34.511,6.184
6166,E01006327,0.353,0.236,47.182,29.058
6167,E01006328,0.214,0.177,42.695,8.388
6168,E01006329,0.207,0.166,50.501,20.42
6169,E01006330,0.058,0.08,8.197,4.856
6170,E01006331,0.046,0.053,9.586,12.098
6171,E01006332,0.128,0.106,16.432,11.649
6172,E01006333,0.227,0.179,35.414,5.714
6173,E01006334,0.29,0.237,53.119,8.172
6174,E01006335,0.174,0.131,24.721,5.972
6175,E01006336,0.369,0.295,66.863,14.657
6176,E01006337,0.094,0.115,18.678,17.38
6177,E01006338,0.183,0.15,35.847,4.502
6178,E01006339,0.068,0.086,10.004,4.175
6179,E01006340,0.172,0.146,33.11,15.102
6180,E01006341,0.205,0.154,13.203,14.798
6181,E01006342,0.234,0.184,40.38,6.911
6182,E01006343,0.03,0.043,3.903,9.848
6183,E01006344,0.241,0.184,45.072,11.464
6184,E01006345,0.069,0.077,6.192,2.644
6185,E01006346,0.122,0.096,17.284,10.028
6186,E01006347,0.038,0.041,6.506,5.598
6187,E01006348,0.037,0.046,4.538,19.379
6188,E01006349,0.101,0.076,18.257,25.784
6189,E01006350,0.363,0.248,73.798,14.966
6190,E01006351,0.358,0.252,72.754,14.81
6191,E01006352,0.189,0.156,32.358,6.672
6192,E01006353,0.149,0.117,32.421,11.859
6193,E01006354,0.206,0.157,43.368,9.065
6194,E01006355,0.096,0.101,29.277,9.256
6195,E01006356,0.254,0.218,63.815,13.482
6196,E01006357,0.384,0.272,90.109,17.601
6197,E01006358,0.186,0.169,31.914,10.402
6198,E01006359,0.199,0.176,43.682,11.999
6199,E01006360,0.307,0.239,83.138,14.971
6200,E01006361,0.312,0.254,75.047,13.512
6201,E01006362,0.042,0.061,6.246,17.864
6202,E01006363,0.062,0.068,7.183,21.318
6203,E01006364,0.131,0.097,16.586,10.021
6204,E01006365,0.059,0.058,2.386,2.424
6205,E01006366,0.113,0.141,10.999,10.832
6206,E01006367,0.044,0.053,4.574,11.097
6207,E01006368,0.053,0.065,12.552,16.569
6208,E01006369,0.273,0.245,33.51,11.941
6209,E01006370,0.176,0.167,7.502,9.504
6210,E01006371,0.093,0.096,18.279,6.062
6211,E01006372,0.022,0.035,0.88,18.704
6212,E01006373,0.052,0.053,5.536,10.365
6213,E01006374,0.028,0.047,3.522,6.918
6214,E01006375,0.09,0.087,4.677,5.566
6215,E01006376,0.19,0.157,30.532,9.649
6216,E01006377,0.047,0.05,10.254,14.911
6217,E01006378,0.053,0.063,6.576,21.66
6218,E01006379,0.083,0.069,11.287,8.967
6219,E01006380,0.212,0.171,29.238,19.636
6220,E01006381,0.033,0.036,4.596,9.984
6221,E01006382,0.029,0.037,5.308,22.301
6222,E01006383,0.073,0.075,8.248,7.097
6223,E01006384,0.043,0.052,8.018,19.568
6224,E01006385,0.035,0.056,7.7,12.686
6225,E01006386,0.448,0.358,75.055,15.071
6226,E01006387,0.122,0.118,23.336,7.862
6227,E01006388,0.166,0.165,28.882,25.638
6228,E01006389,0.078,0.09,22.75,14.297
6229,E01006390,0.126,0.118,20.975,8.82
6230,E01006391,0.119,0.128,20.568,6.42
6231,E01006392,0.279,0.204,60.567,16.834
6232,E01006393,0.057,0.055,10.684,2.078
6233,E01006394,0.039,0.056,7.472,8.322
6234,E01006395,0.026,0.039,4.374,10.182
6235,E01006396,0.061,0.066,17.486,22.912
6236,E01006397,0.198,0.19,39.338,21.313
6237,E01006398,0.179,0.187,36.261,15.463
6238,E01006399,0.163,0.136,25.794,10.708
6239,E01006400,0.043,0.053,10.979,10.267
6240,E01006401,0.05,0.065,15.94,18.421
6241,E01006402,0.037,0.053,9.372,6.885
6242,E01006403,0.057,0.055,15.963,1.526
6243,E01006404,0.235,0.152,34.14,12.657
6244,E01006405,0.216,0.187,38.526,19.154
6245,E01006406,0.08,0.119,22.63,3.995
6246,E01006407,0.073,0.073,11.915,8.711
6247,E01006408,0.192,0.152,41.561,8.647
6248,E01006409,0.073,0.079,13.064,11.124
6249,E01006410,0.057,0.069,12.042,19.504
6250,E01006411,0.371,0.318,78.928,17.551
6251,E01006412,0.466,0.323,73.57,30.358
6252,E01006413,0.462,0.406,77.61,32.524
6253,E01006414,0.335,0.271,53.388,21.177
6254,E01006415,0.247,0.204,41.28,17.235
6255,E01006416,0.376,0.308,73.687,20.181
6256,E01006417,0.418,0.386,75.553,19.812
6257,E01006418,0.345,0.285,63.647,25.029
6258,E01006419,0.074,0.081,11.481,33.441
6259,E01006420,0.07,0.058,6.883,25.676
6260,E01006421,0.058,0.045,8.732,35.141
6261,E01006422,0.105,0.093,17.006,4.404
6262,E01006423,0.054,0.075,12.284,23.258
6263,E01006424,0.065,0.075,9.86,22.927
6264,E01006425,0.163,0.146,24.513,28.051
6265,E01006426,0.367,0.306,69.52,15.171
6266,E01006427,0.123,0.107,24.445,7.556
6267,E01006428,0.277,0.211,43.458,14.668
6268,E01006429,0.373,0.285,61.693,20.712
6269,E01006430,0.364,0.255,69.952,15.915
6270,E01006431,0.18,0.144,26.467,16.528
6271,E01006432,0.339,0.279,50.909,23.979
6272,E01006433,0.191,0.182,29.033,16.087
6273,E01006434,0.361,0.279,66.979,14.961
6274,E01006435,0.37,0.277,69.029,12.062
6275,E01006436,0.384,0.34,81.986,19.443
6276,E01006437,0.326,0.304,61.738,17.194
6277,E01006438,0.099,0.114,15.457,10.839
6278,E01006439,0.22,0.187,32.898,11.513
6279,E01006440,0.422,0.299,60.529,25.358
6280,E01006441,0.227,0.175,29.484,22.966
6281,E01006442,0.394,0.361,79.299,25.264
6282,E01006443,0.433,0.37,70.988,17.943
6283,E01006444,0.412,0.297,80.654,21.196
6284,E01006445,0.406,0.29,70.918,18.794
6285,E01006446,0.408,0.299,62.92,23.845
6286,E01006447,0.415,0.309,54.417,13.846
6287,E01006448,0.519,0.346,84.491,15.596
6288,E01006449,0.2,0.152,29.347,16.463
6289,E01006450,0.35,0.247,59.439,14.933
6290,E01006451,0.259,0.201,38.579,14.627
6291,E01006452,0.228,0.139,38.911,11.654
6292,E01006453,0.421,0.339,57.731,15.352
6293,E01006454,0.143,0.119,27.972,23.532
6294,E01006455,0.431,0.322,66.214,16.617
6295,E01006456,0.19,0.153,29.892,26.848
6296,E01006457,0.14,0.153,26.287,15.943
6297,E01006458,0.298,0.265,57.476,25.705
6298,E01006459,0.156,0.133,20.828,11.18
6299,E01006460,0.427,0.331,75.324,15.929
6300,E01006461,0.317,0.288,66.419,14.995
6301,E01006462,0.116,0.102,20.376,10.927
6302,E01006463,0.258,0.24,34.719,14.495
6303,E01006464,0.184,0.196,23.228,23.095
6304,E01006465,0.096,0.096,11.193,19.178
6305,E01006466,0.17,0.119,17.28,11.666
6306,E01006467,0.427,0.374,74.292,22.843
6307,E01006470,0.392,0.331,76.283,20.695
6308,E01006471,0.061,0.067,12.325,10.761
6309,E01006472,0.074,0.08,9.569,31.229
6310,E01006473,0.064,0.072,11.704,28.137
6311,E01006474,0.115,0.11,13.066,7.169
6312,E01006475,0.122,0.094,14.655,8.961
6313,E01006476,0.06,0.056,7.678,21.469
6314,E01006477,0.274,0.201,47.162,10.8
6315,E01006478,0.363,0.278,40.36,18.158
6316,E01006479,0.266,0.188,37.818,10.885
6317,E01006480,0.413,0.317,56.002,19.806
6318,E01006481,0.286,0.23,48.788,14.146
6319,E01006482,0.239,0.182,47.454,13.671
6320,E01006483,0.314,0.251,51.081,12.6
6321,E01006484,0.297,0.227,57.422,17.998
6322,E01006485,0.143,0.107,23.435,8.225
6323,E01006486,0.112,0.099,12.746,3.304
6324,E01006487,0.098,0.096,15.165,4.856
6325,E01006488,0.076,0.087,19.398,6.923
6326,E01006489,0.111,0.098,17.813,5.03
6327,E01006490,0.09,0.081,23.529,15.001
6328,E01006491,0.1,0.083,22.579,25.255
6329,E01006492,0.21,0.177,42.35,13.808
6330,E01006493,0.559,0.37,79.433,26.29
6331,E01006494,0.536,0.367,91.003,21.623
6332,E01006495,0.322,0.208,56.501,24.617
6333,E01006496,0.194,0.165,36.538,16.544
6334,E01006497,0.159,0.169,23.326,7.357
6335,E01006498,0.057,0.07,8.221,22.029
6336,E01006499,0.095,0.087,12.253,16.545
6337,E01006500,0.288,0.247,51.367,13.113
6338,E01006501,0.134,0.092,17.109,27.485
6339,E01006502,0.11,0.108,21.992,15.805
6340,E01006503,0.064,0.099,7.685,5.014
6341,E01006504,0.347,0.251,58.142,33.079
6342,E01006505,0.308,0.244,62.803,24.147
6343,E01006506,0.215,0.194,38.71,33.142
6344,E01006507,0.394,0.308,61.386,13.675
6345,E01006508,0.207,0.187,31.25,23.8
6346,E01006509,0.381,0.275,54.066,18.266
6347,E01006510,0.17,0.137,39.508,26.003
6348,E01006512,0.066,0.048,15.487,18.889
6349,E01006513,0.026,0.016,43.037,18.448
6350,E01006514,0.264,0.18,9.196,18.85
6351,E01006515,0.343,0.197,40.314,17.083
6352,E01006518,0.396,0.315,56.036,18.839
6353,E01006519,0.041,0.042,1.611,12.261
6354,E01006520,0.223,0.181,8.916,15.347
6355,E01006521,0.154,0.138,16.553,13.579
6356,E01006522,0.221,0.187,14.581,13.808
6357,E01006523,0.236,0.19,3.358,14.007
6358,E01006524,0.044,0.024,2.436,11.236
6359,E01006525,0.052,0.051,2.106,9.282
6360,E01006526,0.111,0.098,5.102,6.795
6361,E01006527,0.136,0.114,7.542,7.668
6362,E01006528,0.145,0.109,12.663,18.599
6363,E01006529,0.094,0.082,5.093,4.051
6364,E01006530,0.059,0.065,4.211,4.914
6365,E01006531,0.091,0.069,5.156,8.4
6366,E01006532,0.048,0.059,1.537,22.099
6367,E01006533,0.138,0.136,9.665,22.642
6368,E01006534,0.179,0.167,22.035,11.834
6369,E01006535,0.175,0.163,22.19,12.526
6370,E01006536,0.227,0.206,37.629,10.01
6371,E01006537,0.129,0.091,21.755,17.656
6372,E01006538,0.122,0.098,16.883,6.022
6373,E01006539,0.057,0.052,2.922,16.881
6374,E01006540,0.446,0.346,62.124,19.937
6375,E01006541,0.275,0.238,40.987,12.009
6376,E01006542,0.29,0.25,44.481,13.783
6377,E01006543,0.116,0.104,30.018,5.871
6378,E01006544,0.388,0.3,62.026,13.513
6379,E01006545,0.268,0.222,40.388,7.017
6380,E01006546,0.354,0.293,49.493,8.794
6381,E01006547,0.455,0.368,78.009,11.5
6382,E01006548,0.395,0.268,51.438,13.27
6383,E01006549,0.235,0.199,15.899,28.883
6384,E01006550,0.121,0.076,3.741,13.346
6385,E01006551,0.299,0.178,27.171,22.488
6386,E01006552,0.32,0.214,45.205,28.504
6387,E01006553,0.091,0.055,12.943,10.909
6388,E01006554,0.116,0.109,4.347,15.503
6389,E01006556,0.397,0.256,63.136,20.603
6390,E01006557,0.072,0.039,16.822,13.886
6391,E01006558,0.462,0.401,70.741,15.924
6392,E01006560,0.456,0.386,59.597,19.028
6393,E01006562,0.422,0.322,78.302,15.376
6394,E01006563,0.491,0.38,73.32,15.76
6395,E01006564,0.259,0.227,46.366,15.113
6396,E01006565,0.22,0.188,31.093,11.012
6397,E01006566,0.147,0.139,15.816,4.398
6398,E01006567,0.281,0.248,43.145,17.547
6399,E01006568,0.16,0.121,16.963,29.006
6400,E01006569,0.318,0.261,44.17,21.198
6401,E01006570,0.117,0.154,12.273,11.29
6402,E01006571,0.304,0.243,47.505,10.833
6403,E01006572,0.402,0.275,70.57,11.293
6404,E01006573,0.288,0.236,28.115,8.913
6405,E01006574,0.311,0.25,37.891,6.488
6406,E01006575,0.182,0.157,17.272,16.669
6407,E01006576,0.08,0.073,8.756,21.924
6408,E01006577,0.057,0.063,6.292,13.441
6409,E01006578,0.09,0.085,9.437,6.315
6410,E01006579,0.055,0.064,6.147,6.792
6411,E01006580,0.071,0.055,3.729,9.849
6412,E01006581,0.057,0.051,4.04,3.973
6413,E01006582,0.035,0.049,1.469,6.635
6414,E01006583,0.023,0.033,2.329,9.622
6415,E01006584,0.129,0.133,12.546,25.212
6416,E01006585,0.312,0.299,43.833,15.349
6417,E01006586,0.214,0.184,23.483,18.666
6418,E01006587,0.162,0.147,15.781,20.053
6419,E01006588,0.162,0.126,11.743,10.062
6420,E01006589,0.074,0.066,6.616,2.474
6421,E01006590,0.107,0.081,5.912,4.789
6422,E01006591,0.079,0.06,2.206,5.064
6423,E01006592,0.056,0.053,0.967,8.766
6424,E01006593,0.091,0.07,6.52,3.106
6425,E01006594,0.036,0.045,1.736,16.296
6426,E01006595,0.105,0.099,6.885,4.898
6427,E01006596,0.074,0.088,5.881,6.788
6428,E01006597,0.045,0.061,1.076,11.895
6429,E01006598,0.391,0.285,60.716,13.422
6430,E01006599,0.304,0.218,69.17,15.333
6431,E01006600,0.335,0.273,44.267,9.45
6432,E01006603,0.318,0.229,45.072,13.153
6433,E01006604,0.291,0.219,49.173,12.257
6434,E01006605,0.3,0.222,46.409,15.102
6435,E01006606,0.263,0.233,51.102,13.143
6436,E01006607,0.334,0.269,57.553,9.643
6437,E01006608,0.25,0.188,26.78,18.249
6438,E01006609,0.304,0.246,41.783,8.649
6439,E01006610,0.393,0.286,56.766,10.266
6440,E01006611,0.51,0.373,61.686,11.815
6441,E01006612,0.37,0.304,55.103,16.624
6442,E01006613,0.28,0.238,35.676,11.166
6443,E01006614,0.352,0.295,47.495,10.875
6444,E01006615,0.377,0.283,48.184,11.244
6445,E01006616,0.25,0.209,37.955,13.926
6446,E01006617,0.118,0.103,10.579,8.509
6447,E01006618,0.27,0.203,31.79,16.809
6448,E01006619,0.118,0.12,12.553,5.772
6449,E01006620,0.156,0.126,9.991,8.831
6450,E01006621,0.077,0.078,7.316,19.488
6451,E01006622,0.041,0.041,8.787,9.873
6452,E01006623,0.073,0.08,12.368,16.628
6453,E01006624,0.219,0.204,34.603,19.319
6454,E01006625,0.128,0.091,15.112,3.274
6455,E01006626,0.129,0.129,13.197,6.814
6456,E01006627,0.136,0.134,22.928,11.177
6457,E01006628,0.113,0.085,4.718,24.888
6458,E01006629,0.186,0.161,20.155,18.779
6459,E01006630,0.4,0.324,86.545,17.061
6460,E01006632,0.331,0.263,50.202,16.94
6461,E01006633,0.419,0.318,82.74,14.81
6462,E01006637,0.353,0.254,50.775,14.92
6463,E01006638,0.431,0.317,70.944,11.601
6464,E01006639,0.213,0.164,30.599,13.301
6465,E01006640,0.119,0.124,17.871,11.281
6466,E01006641,0.123,0.096,12.285,11.024
6467,E01006642,0.391,0.293,67.098,14.482
6468,E01006643,0.366,0.262,46.978,14.007
6469,E01006644,0.301,0.244,43.268,13.939
6470,E01006645,0.415,0.307,62.87,16.089
6471,E01006646,0.365,0.27,54.428,26.619
6472,E01006647,0.442,0.351,72.263,21.517
6473,E01006648,0.268,0.183,59.921,25.078
6474,E01006651,0.062,0.071,10.281,16.492
6475,E01006652,0.147,0.136,24.464,6.078
6476,E01006653,0.264,0.214,44.336,11.972
6477,E01006654,0.164,0.143,23.091,14.204
6478,E01006655,0.227,0.197,26.942,8.859
6479,E01006656,0.186,0.147,18.901,5.835
6480,E01006657,0.236,0.194,31.27,7.916
6481,E01006658,0.381,0.287,56.079,16.763
6482,E01006659,0.355,0.247,47.069,22.765
6483,E01006660,0.315,0.254,34.329,11.686
6484,E01006661,0.371,0.277,70.217,12.628
6485,E01006662,0.39,0.29,41.902,15.517
6486,E01006663,0.272,0.206,46.617,20.767
6487,E01006664,0.364,0.302,56.451,17.333
6488,E01006665,0.09,0.107,13.49,28.723
6489,E01006666,0.071,0.069,8.829,26.09
6490,E01006667,0.214,0.177,32.001,19.126
6491,E01006668,0.065,0.069,9.27,7.865
6492,E01006669,0.137,0.101,16.499,20.58
6493,E01006670,0.108,0.113,14.907,4.537
6494,E01006671,0.226,0.156,26.267,19.414
6495,E01006672,0.36,0.25,53.17,17.17
6496,E01006673,0.379,0.225,39.938,20.516
6497,E01006674,0.511,0.336,49.337,27.297
6498,E01006675,0.298,0.229,11.587,21.155
6499,E01006676,0.466,0.3,50.764,18.645
6500,E01006677,0.519,0.339,69.588,18.251
6501,E01006678,0.373,0.268,41.85,15.567
6502,E01006679,0.454,0.306,51.044,22.422
6503,E01006680,0.059,0.063,6.226,5.799
6504,E01006681,0.168,0.171,13.733,10.404
6505,E01006682,0.034,0.057,3.163,3.139
6506,E01006683,0.057,0.072,4.358,4.06
6507,E01006684,0.049,0.051,2.906,18.826
6508,E01006685,0.08,0.091,4.39,6.204
6509,E01006686,0.059,0.072,7.614,2.827
6510,E01006687,0.116,0.106,2.557,24.072
6511,E01006688,0.133,0.127,10.726,8.126
6512,E01006689,0.08,0.068,2.745,12.677
6513,E01006690,0.334,0.257,45.035,17.188
6514,E01006691,0.374,0.221,70.02,15.767
6515,E01006692,0.328,0.238,39.364,21.503
6516,E01006693,0.369,0.306,47.548,14.854
6517,E01006694,0.355,0.253,50.589,16.027
6518,E01006695,0.417,0.372,39.851,17.447
6519,E01006696,0.32,0.209,41.794,15.227
6520,E01006697,0.333,0.21,56.458,16.142
6521,E01006698,0.323,0.235,41.325,7.55
6522,E01006699,0.384,0.324,63.234,12.154
6523,E01006700,0.374,0.293,44.135,10.99
6524,E01006701,0.285,0.252,36.399,12.604
6525,E01006702,0.426,0.319,76.443,12.609
6526,E01006703,0.401,0.357,63.145,15.975
6527,E01006705,0.342,0.265,35.456,10.076
6528,E01006706,0.402,0.323,77.773,26.123
6529,E01006707,0.363,0.294,72.068,21.296
6530,E01006708,0.289,0.222,48.465,19.747
6531,E01006709,0.289,0.223,44.82,14.757
6532,E01006710,0.23,0.186,37.932,29.808
6533,E01006711,0.299,0.276,27.2,9.263
6534,E01006712,0.213,0.166,24.628,5.717
6535,E01006713,0.195,0.163,23.471,9.487
6536,E01006716,0.292,0.212,41.891,14.1
6537,E01006717,0.162,0.138,15.511,7.904
6538,E01006718,0.242,0.182,27.103,5.688
6539,E01006719,0.173,0.134,21.063,5.142
6540,E01006720,0.351,0.206,65.635,17.897
6541,E01006721,0.398,0.268,45.386,15.923
6542,E01006722,0.174,0.091,32.883,14.4
6543,E01006723,0.21,0.128,31.544,14.043
6544,E01006724,0.075,0.052,18.304,15.862
6545,E01006725,0.256,0.183,34.552,13.331
6546,E01006726,0.244,0.158,32.544,19.286
6547,E01006727,0.161,0.13,26.145,16.771
6548,E01006728,0.365,0.247,56.185,19.255
6549,E01006729,0.352,0.27,57.037,15.095
6550,E01006730,0.314,0.29,53.024,14.018
6551,E01006731,0.332,0.286,64.067,11.446
6552,E01006732,0.413,0.291,56.223,19.964
6553,E01006734,0.38,0.282,44.935,12.4
6554,E01006735,0.414,0.323,59.931,17.532
6555,E01006736,0.298,0.217,46.015,16.057
6556,E01006737,0.306,0.249,47.688,17.627
6557,E01006738,0.333,0.251,59.083,17.167
6558,E01006739,0.362,0.267,60.39,13.3
6559,E01006740,0.329,0.231,64.787,18.27
6560,E01006741,0.314,0.261,60.983,11.303
6561,E01006742,0.238,0.171,35.02,11.342
6562,E01006743,0.194,0.149,37.056,14.494
6563,E01006744,0.196,0.146,34.86,11.804
6564,E01006745,0.228,0.186,38.878,15.047
6565,E01006746,0.318,0.218,42.204,21.606
6566,E01006747,0.072,0.037,35.116,14.734
6567,E01006748,0.138,0.086,39.352,21.102
6568,E01006751,0.236,0.124,54.498,21.387
6569,E01006752,0.261,0.22,35.443,20.081
6570,E01006753,0.342,0.263,77.308,17.549
6571,E01006754,0.364,0.258,71.204,18.099
6572,E01006755,0.37,0.25,77.714,13.999
6573,E01006756,0.351,0.26,66.547,16.498
6574,E01006757,0.386,0.266,63.667,15.473
6575,E01006758,0.353,0.255,63.482,14.682
6576,E01006759,0.198,0.179,32.652,14.147
6577,E01006760,0.388,0.359,47.023,19.479
6578,E01006761,0.308,0.275,42.315,12.617
6579,E01006762,0.309,0.208,62.567,12.247
6580,E01006763,0.282,0.205,34.362,10.746
6581,E01006764,0.36,0.265,37.816,11.6
6582,E01006765,0.239,0.184,29.992,8.862
6583,E01006766,0.431,0.31,58.919,11.23
6584,E01006767,0.362,0.263,33.736,13.392
6585,E01006768,0.253,0.246,25.845,17.152
6586,E01006769,0.291,0.245,42.841,11.548
6587,E01006770,0.304,0.252,45.16,18.519
6588,E01006771,0.352,0.324,58.832,32.807
6589,E01006772,0.217,0.215,27.507,19.092
6590,E01006773,0.096,0.08,9.474,14.101
6591,E01006774,0.076,0.066,8.781,14.549
6592,E01006775,0.42,0.323,71.156,17.239
6593,E01006776,0.28,0.225,54.888,13.28
6594,E01006778,0.421,0.331,56.533,16.55
6595,E01006779,0.439,0.347,75.346,21.164
6596,E01006780,0.151,0.139,25.363,7.374
6597,E01006781,0.09,0.111,18.976,6.708
6598,E01006782,0.195,0.178,27.662,7.532
6599,E01006783,0.217,0.179,26.738,4.92
6600,E01006784,0.184,0.146,15.953,3.459
6601,E01006785,0.222,0.178,26.198,19.611
6602,E01006786,0.134,0.152,19.647,6.153
6603,E01006787,0.243,0.202,53.983,20.984
6604,E01006788,0.214,0.145,23.614,10.425
6605,E01006790,0.421,0.332,44.43,15.245
6606,E01006791,0.389,0.313,49.571,11.846
6607,E01006792,0.06,0.073,1.913,20.067
6608,E01006793,0.207,0.166,13.313,17.791
6609,E01006794,0.091,0.099,9.235,11.31
6610,E01006795,0.071,0.077,5.656,5.64
6611,E01006796,0.033,0.048,1.999,24.902
6612,E01006797,0.245,0.232,30.87,18.213
6613,E01006798,0.085,0.079,5.429,9.822
6614,E01006799,0.227,0.163,16.132,13.142
6615,E01006800,0.075,0.097,6.407,10.001
6616,E01006801,0.099,0.079,9.066,16.667
6617,E01006802,0.117,0.129,11.466,10.863
6618,E01006803,0.064,0.079,6.606,15.385
6619,E01006804,0.127,0.136,12.756,10.302
6620,E01006805,0.197,0.159,20.547,8.34
6621,E01006806,0.034,0.061,4.571,3.129
6622,E01006807,0.042,0.051,3.49,10.129
6623,E01006808,0.066,0.07,9.884,8.007
6624,E01006809,0.065,0.071,13.877,2.488
6625,E01006810,0.05,0.078,12.887,3.717
6626,E01006811,0.174,0.184,30.274,15.391
6627,E01006812,0.329,0.228,52.501,20.354
6628,E01006813,0.21,0.187,34.701,5.887
6629,E01006814,0.059,0.081,18.816,17.409
6630,E01006815,0.168,0.163,26.115,10.264
6631,E01006816,0.335,0.297,68.302,18.355
6632,E01006817,0.415,0.369,84.519,16.403
6633,E01006818,0.089,0.111,18.335,8.737
6634,E01006819,0.198,0.175,36.377,11.451
6635,E01006820,0.356,0.27,64.977,11.131
6636,E01006821,0.405,0.324,78.759,11.054
6637,E01006822,0.058,0.079,1.902,6.652
6638,E01006823,0.042,0.063,3.375,2.957
6639,E01006824,0.046,0.067,3.085,5.288
6640,E01006825,0.035,0.045,1.395,10.656
6641,E01006826,0.247,0.252,33.728,18.819
6642,E01006827,0.063,0.069,5.198,20.013
6643,E01006828,0.046,0.052,2.904,15.797
6644,E01006829,0.043,0.068,4.563,17.8
6645,E01006830,0.34,0.259,56.03,21.991
6646,E01006831,0.184,0.151,27.089,10.98
6647,E01006832,0.203,0.181,25.558,17.933
6648,E01006833,0.106,0.105,7.874,11.151
6649,E01006834,0.265,0.232,57.672,15.168
6650,E01006835,0.142,0.161,14.776,11.592
6651,E01006836,0.208,0.171,37.501,21.532
6652,E01006837,0.156,0.143,27.789,6.763
6653,E01006838,0.237,0.176,31.093,9.306
6654,E01006839,0.125,0.152,33.057,4.398
6655,E01006840,0.111,0.123,22.433,10.934
6656,E01006841,0.061,0.057,7.102,20.758
6657,E01006842,0.253,0.189,40.174,7.888
6658,E01006843,0.165,0.152,24.992,9.115
6659,E01006844,0.332,0.268,40.305,7.726
6660,E01006845,0.208,0.175,32.755,8.104
6661,E01006846,0.105,0.104,21.57,6.114
6662,E01006847,0.375,0.271,44.43,13.911
6663,E01006848,0.129,0.141,20.761,10.705
6664,E01006849,0.354,0.294,46.76,18.81
6665,E01006850,0.27,0.264,41.097,11.106
6666,E01006851,0.14,0.142,13.249,21.631
6667,E01006852,0.055,0.065,10.144,10.196
6668,E01006853,0.119,0.128,12.493,12.594
6669,E01006854,0.139,0.137,23.144,18.756
6670,E01006855,0.193,0.223,21.569,13.381
6671,E01006856,0.071,0.07,7.304,2.11
6672,E01006857,0.039,0.055,5.778,17.248
6673,E01006858,0.242,0.19,47.166,18.45
6674,E01006859,0.044,0.052,4.819,16.879
6675,E01006860,0.178,0.155,39.407,9.201
6676,E01006861,0.317,0.241,56.809,16.985
6677,E01006862,0.231,0.166,42.504,22.18
6678,E01006863,0.263,0.245,61.286,12.992
6679,E01006864,0.106,0.1,13.335,5.731
6680,E01006865,0.326,0.246,56.676,21.593
6681,E01006866,0.241,0.204,39.998,13.719
6682,E01006867,0.087,0.083,6.436,15.219
6683,E01006868,0.247,0.187,34.909,11.921
6684,E01006869,0.265,0.226,35.151,7.54
6685,E01006870,0.266,0.199,37.27,6.288
6686,E01006871,0.335,0.282,56.243,22.469
6687,E01006872,0.37,0.317,56.488,12.618
6688,E01006873,0.435,0.349,84.022,13.899
6689,E01006874,0.513,0.411,85.738,14.743
6690,E01006875,0.311,0.245,66.697,21.403
6691,E01006876,0.189,0.18,18.192,7.504
6692,E01006877,0.329,0.351,38.428,11.588
6693,E01006878,0.157,0.148,22.213,7.026
6694,E01006879,0.241,0.219,32.507,19.224
6695,E01006880,0.413,0.377,64.398,14.328
6696,E01006881,0.379,0.283,48.993,12.708
6697,E01006882,0.036,0.075,2.242,7.698
6698,E01006883,0.07,0.091,5.999,6.056
6699,E01006884,0.097,0.101,5.796,6.808
6700,E01006885,0.052,0.057,6.801,35.504
6701,E01006886,0.055,0.068,8.582,16.518
6702,E01006887,0.121,0.13,15.281,16.246
6703,E01006888,0.059,0.077,2.93,4.238
6704,E01006889,0.04,0.059,3.121,14.462
6705,E01006890,0.141,0.125,16.301,9.138
6706,E01006891,0.087,0.108,8.933,9.444
6707,E01006892,0.122,0.122,13.765,9.449
6708,E01006893,0.143,0.126,17.146,5.56
6709,E01006894,0.1,0.111,14.785,10.428
6710,E01006895,0.053,0.066,3.136,5.398
6711,E01006896,0.096,0.117,16.143,12.925
6712,E01006897,0.115,0.123,25.019,9.517
6713,E01006898,0.188,0.193,37.296,18.456
6714,E01006899,0.212,0.159,42.621,16.147
6715,E01006900,0.119,0.096,19.222,18.25
6716,E01006901,0.069,0.096,10.123,12.242
6717,E01006903,0.316,0.286,45.94,11.153
6718,E01006904,0.174,0.145,33.668,14.455
6719,E01006905,0.326,0.279,54.684,13.835
6720,E01006906,0.15,0.132,19.882,9.92
6721,E01006907,0.205,0.189,27.312,7.078
6722,E01006908,0.385,0.308,51.657,12.817
6723,E01006909,0.498,0.368,83.383,12.873
6724,E01006910,0.258,0.199,37.74,10.513
6725,E01006911,0.062,0.107,17.707,6.097
6726,E01006912,0.27,0.196,40.122,17.617
6727,E01006913,0.314,0.261,48.965,17.218
6728,E01006914,0.025,0.051,3.216,8.22
6729,E01006915,0.202,0.184,18.535,15.903
6730,E01006916,0.129,0.138,9.412,3.849
6731,E01006917,0.035,0.054,2.299,7.63
6732,E01006918,0.089,0.09,5.529,6.173
6733,E01006919,0.332,0.243,46.808,26.259
6734,E01006920,0.127,0.093,14.083,4.687
6735,E01006921,0.063,0.081,3.588,10.534
6736,E01006922,0.045,0.078,5.901,16.714
6737,E01006923,0.08,0.104,5.445,14.99
6738,E01006924,0.297,0.238,32.203,12.753
6739,E01006925,0.209,0.17,31.744,12.075
6740,E01006926,0.032,0.056,1.863,11.372
